unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
UAL|0000100517-26-000157|derivative|2026-07-27|Hart Brett J|M|Stock Option (Right to Buy)|21521|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/wk-form4_1785284905.xml,derivative,2026-07-27,M,Stock Option (Right to Buy),21521,0,0.0,0,D,Hart Brett J,"Officer, President",0,1,0,President,SEC EDGAR
UAL|0000100517-26-000156|nonDerivative|2026-07-25|Gebo Kate|A|Common Stock|17837|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000156,https://www.sec.gov/Archives/edgar/data/100517/000010051726000156/wk-form4_1785284900.xml,nonDerivative,2026-07-25,A,Common Stock,17837,0,0.0,81887,D,Gebo Kate,"Officer, EVP HR and Labor Relations",0,1,0,EVP HR and Labor Relations,SEC EDGAR
UAL|0000100517-26-000156|nonDerivative|2026-07-25|Gebo Kate|F|Common Stock|7901|118.27|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000156,https://www.sec.gov/Archives/edgar/data/100517/000010051726000156/wk-form4_1785284900.xml,nonDerivative,2026-07-25,F,Common Stock,7901,118.27,934451.27,73986,D,Gebo Kate,"Officer, EVP HR and Labor Relations",0,1,0,EVP HR and Labor Relations,SEC EDGAR
UAL|0000100517-26-000156|nonDerivative|2026-07-28|Gebo Kate|G|Common Stock|4968|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000156,https://www.sec.gov/Archives/edgar/data/100517/000010051726000156/wk-form4_1785284900.xml,nonDerivative,2026-07-28,G,Common Stock,4968,0,0.0,69018,D,Gebo Kate,"Officer, EVP HR and Labor Relations",0,1,0,EVP HR and Labor Relations,SEC EDGAR
UAL|0000100517-26-000156|nonDerivative|2026-07-28|Gebo Kate|G|Common Stock|4968|0|I,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000156,https://www.sec.gov/Archives/edgar/data/100517/000010051726000156/wk-form4_1785284900.xml,nonDerivative,2026-07-28,G,Common Stock,4968,0,0.0,69018,I,Gebo Kate,"Officer, EVP HR and Labor Relations",0,1,0,EVP HR and Labor Relations,SEC EDGAR
UAL|0000100517-26-000160|nonDerivative|2026-07-24|Enqvist Torbjorn J|S|Common Stock|20000|119.91|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-24,0000100517-26-000160,https://www.sec.gov/Archives/edgar/data/100517/000010051726000160/wk-form4_1785284927.xml,nonDerivative,2026-07-24,S,Common Stock,20000,119.91,2398200.0,114800,D,Enqvist Torbjorn J,"Officer, EVP & Chief Operations Officer",0,1,0,EVP & Chief Operations Officer,SEC EDGAR
UAL|0000100517-26-000160|nonDerivative|2026-07-25|Enqvist Torbjorn J|A|Common Stock|24971|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-24,0000100517-26-000160,https://www.sec.gov/Archives/edgar/data/100517/000010051726000160/wk-form4_1785284927.xml,nonDerivative,2026-07-25,A,Common Stock,24971,0,0.0,139771,D,Enqvist Torbjorn J,"Officer, EVP & Chief Operations Officer",0,1,0,EVP & Chief Operations Officer,SEC EDGAR
UAL|0000100517-26-000160|nonDerivative|2026-07-25|Enqvist Torbjorn J|F|Common Stock|9825|118.27|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-24,0000100517-26-000160,https://www.sec.gov/Archives/edgar/data/100517/000010051726000160/wk-form4_1785284927.xml,nonDerivative,2026-07-25,F,Common Stock,9825,118.27,1162002.75,129946,D,Enqvist Torbjorn J,"Officer, EVP & Chief Operations Officer",0,1,0,EVP & Chief Operations Officer,SEC EDGAR
TPL|0001437749-26-024591|nonDerivative|2026-07-27|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|409.31|D,2026-08-01 03:44:51+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-07-28,2026-07-27,0001437749-26-024591,https://www.sec.gov/Archives/edgar/data/1811074/000143774926024591/rdgdoc.xml,nonDerivative,2026-07-27,P,Common Stock,1,409.31,409.31,3263684,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TMO|0000097745-26-000140|nonDerivative|2026-07-27|Pettiti Gianluca|S|Common Stock|400|565|D,2026-08-01 03:44:51+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-07-28,2026-07-27,0000097745-26-000140,https://www.sec.gov/Archives/edgar/data/97745/000009774526000140/wk-form4_1785270264.xml,nonDerivative,2026-07-27,S,Common Stock,400,565,226000.0,24650.832,D,Pettiti Gianluca,"Officer, President & COO",0,1,0,President & COO,SEC EDGAR
STT|0000093751-26-000393|nonDerivative|2026-07-24|Hu W. Bradford|S|Common Stock|9758|184.52|D,2026-08-01 03:44:51+0000,STT,STATE STREET CORP,0000093751,4,2026-07-28,2026-07-24,0000093751-26-000393,https://www.sec.gov/Archives/edgar/data/93751/000009375126000393/wk-form4_1785268909.xml,nonDerivative,2026-07-24,S,Common Stock,9758,184.52,1800546.1600000001,49794,D,Hu W. Bradford,"Officer, EVP and Chief Risk Officer",0,1,0,EVP and Chief Risk Officer,SEC EDGAR
STLD|0001022671-26-000143|nonDerivative|2026-07-28|MILLETT MARK D|G|Common Stock|300|0|D,2026-08-01 03:44:51+0000,STLD,STEEL DYNAMICS INC,0001022671,4,2026-07-28,2026-07-28,0001022671-26-000143,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000143/form4.xml,nonDerivative,2026-07-28,G,Common Stock,300,0,0.0,3016401,D,MILLETT MARK D,"Director, Officer, Chairman and CEO",1,1,0,Chairman and CEO,SEC EDGAR
SNA|0000091440-26-000146|nonDerivative|2026-07-28|Chambers Timothy L|M|Common Stock|9111|168.70|D,2026-08-01 03:44:51+0000,SNA,Snap-on Inc,0000091440,4,2026-07-28,2026-07-28,0000091440-26-000146,https://www.sec.gov/Archives/edgar/data/91440/000009144026000146/form4.xml,nonDerivative,2026-07-28,M,Common Stock,9111,168.70,1537025.7,30334.0001,D,Chambers Timothy L,"Officer, Sr VP & Pres - Tools",,1,,Sr VP & Pres - Tools,SEC EDGAR
SNA|0000091440-26-000146|nonDerivative|2026-07-28|Chambers Timothy L|S|Common Stock|9091|419.3563|D,2026-08-01 03:44:51+0000,SNA,Snap-on Inc,0000091440,4,2026-07-28,2026-07-28,0000091440-26-000146,https://www.sec.gov/Archives/edgar/data/91440/000009144026000146/form4.xml,nonDerivative,2026-07-28,S,Common Stock,9091,419.3563,3812368.1232999996,21243.0001,D,Chambers Timothy L,"Officer, Sr VP & Pres - Tools",,1,,Sr VP & Pres - Tools,SEC EDGAR
SNA|0000091440-26-000146|nonDerivative|2026-07-28|Chambers Timothy L|S|Common Stock|20|420.00|D,2026-08-01 03:44:51+0000,SNA,Snap-on Inc,0000091440,4,2026-07-28,2026-07-28,0000091440-26-000146,https://www.sec.gov/Archives/edgar/data/91440/000009144026000146/form4.xml,nonDerivative,2026-07-28,S,Common Stock,20,420.00,8400.0,21223.0001,D,Chambers Timothy L,"Officer, Sr VP & Pres - Tools",,1,,Sr VP & Pres - Tools,SEC EDGAR
SNA|0000091440-26-000146|derivative|2026-07-28|Chambers Timothy L|M|Stock Option (Right to Buy)|9111||D,2026-08-01 03:44:51+0000,SNA,Snap-on Inc,0000091440,4,2026-07-28,2026-07-28,0000091440-26-000146,https://www.sec.gov/Archives/edgar/data/91440/000009144026000146/form4.xml,derivative,2026-07-28,M,Stock Option (Right to Buy),9111,,,0,D,Chambers Timothy L,"Officer, Sr VP & Pres - Tools",,1,,Sr VP & Pres - Tools,SEC EDGAR
SCHW|0000923738-26-000028|nonDerivative|2026-07-24|Schwab Charles R.|S|Common Stock|45500|101.7185|I,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-28,2026-07-24,0000923738-26-000028,https://www.sec.gov/Archives/edgar/data/316709/000092373826000028/wk-form4_1785282818.xml,nonDerivative,2026-07-24,S,Common Stock,45500,101.7185,4628191.75,54128841,I,Schwab Charles R.,"Director, Officer, Co-Chairman",1,1,0,Co-Chairman,SEC EDGAR
RTX|0001225208-26-006771|nonDerivative|2026-07-24|DaSilva Kevin G|S|Common Stock|4760.0000|213.6200|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-24,0001225208-26-006771,https://www.sec.gov/Archives/edgar/data/101829/000122520826006771/doc4.xml,nonDerivative,2026-07-24,S,Common Stock,4760.0000,213.6200,1016831.2000000001,22349.1004,D,DaSilva Kevin G,"Officer, Senior VP and Treasurer",,1,,Senior VP and Treasurer,SEC EDGAR
RTX|0001225208-26-006771|nonDerivative|2026-07-28|DaSilva Kevin G|S|Common Stock|2250.0000|216.9320|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-24,0001225208-26-006771,https://www.sec.gov/Archives/edgar/data/101829/000122520826006771/doc4.xml,nonDerivative,2026-07-28,S,Common Stock,2250.0000,216.9320,488097.0,20099.1004,D,DaSilva Kevin G,"Officer, Senior VP and Treasurer",,1,,Senior VP and Treasurer,SEC EDGAR
RTX|0001225208-26-006773|nonDerivative|2026-07-24|Brunk Troy D|M|Common Stock|12600.0000|97.6500|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-24,0001225208-26-006773,https://www.sec.gov/Archives/edgar/data/101829/000122520826006773/doc4.xml,nonDerivative,2026-07-24,M,Common Stock,12600.0000,97.6500,1230390.0,23220.1118,D,Brunk Troy D,"Officer, President, Collins Aerospace",,1,,"President, Collins Aerospace",SEC EDGAR
RTX|0001225208-26-006773|nonDerivative|2026-07-24|Brunk Troy D|S|Common Stock|1811.0000|210.6450|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-24,0001225208-26-006773,https://www.sec.gov/Archives/edgar/data/101829/000122520826006773/doc4.xml,nonDerivative,2026-07-24,S,Common Stock,1811.0000,210.6450,381478.09500000003,21409.1118,D,Brunk Troy D,"Officer, President, Collins Aerospace",,1,,"President, Collins Aerospace",SEC EDGAR
RTX|0001225208-26-006773|nonDerivative|2026-07-24|Brunk Troy D|D|Common Stock|5854.0000|210.1700|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-24,0001225208-26-006773,https://www.sec.gov/Archives/edgar/data/101829/000122520826006773/doc4.xml,nonDerivative,2026-07-24,D,Common Stock,5854.0000,210.1700,1230335.18,15555.1118,D,Brunk Troy D,"Officer, President, Collins Aerospace",,1,,"President, Collins Aerospace",SEC EDGAR
RTX|0001225208-26-006773|nonDerivative|2026-07-24|Brunk Troy D|S|Common Stock|6746.0000|210.2000|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-24,0001225208-26-006773,https://www.sec.gov/Archives/edgar/data/101829/000122520826006773/doc4.xml,nonDerivative,2026-07-24,S,Common Stock,6746.0000,210.2000,1418009.2,8809.1118,D,Brunk Troy D,"Officer, President, Collins Aerospace",,1,,"President, Collins Aerospace",SEC EDGAR
RTX|0001225208-26-006773|derivative|2026-07-24|Brunk Troy D|M|Stock Appreciation Right|12600.0000|0.0000|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-24,0001225208-26-006773,https://www.sec.gov/Archives/edgar/data/101829/000122520826006773/doc4.xml,derivative,2026-07-24,M,Stock Appreciation Right,12600.0000,0.0000,0.0,0.0000,D,Brunk Troy D,"Officer, President, Collins Aerospace",,1,,"President, Collins Aerospace",SEC EDGAR
RTX|0001225208-26-006772|nonDerivative|2026-07-27|Atkinson Tracy A|S|Common Stock|2295.0000|218.0497|D,2026-08-01 03:44:51+0000,RTX,RTX Corp,0000101829,4,2026-07-28,2026-07-27,0001225208-26-006772,https://www.sec.gov/Archives/edgar/data/101829/000122520826006772/doc4.xml,nonDerivative,2026-07-27,S,Common Stock,2295.0000,218.0497,500424.0615,1785.0000,D,Atkinson Tracy A,Director,1,,,,SEC EDGAR
RJF|0001225208-26-006757|nonDerivative|2026-07-27|Raney Steven M|S|Common Stock|5770.0000|172.9693|D,2026-08-01 03:44:51+0000,RJF,RAYMOND JAMES FINANCIAL INC,0000720005,4,2026-07-28,2026-07-27,0001225208-26-006757,https://www.sec.gov/Archives/edgar/data/720005/000122520826006757/doc4.xml,nonDerivative,2026-07-27,S,Common Stock,5770.0000,172.9693,998032.861,43046.0000,D,Raney Steven M,"Officer, Executive Chair RJBank",,1,,Executive Chair RJBank,SEC EDGAR
PGR|0000080661-26-000296|nonDerivative|2026-07-24|WITALEC DANIEL J|A|Common|2422.24|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000296,https://www.sec.gov/Archives/edgar/data/80661/000008066126000296/form4.xml,nonDerivative,2026-07-24,A,Common,2422.24,0,0.0,4872.166,D,WITALEC DANIEL J,"Officer, Chief Strategy Officer",,1,,Chief Strategy Officer,SEC EDGAR
PGR|0000080661-26-000296|nonDerivative|2026-07-24|WITALEC DANIEL J|F|Common|706|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000296,https://www.sec.gov/Archives/edgar/data/80661/000008066126000296/form4.xml,nonDerivative,2026-07-24,F,Common,706,211.90,149601.4,4166.166,D,WITALEC DANIEL J,"Officer, Chief Strategy Officer",,1,,Chief Strategy Officer,SEC EDGAR
PGR|0000080661-26-000294|nonDerivative|2026-07-24|Stringer David M|A|Common|529.502|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000294,https://www.sec.gov/Archives/edgar/data/80661/000008066126000294/form4.xml,nonDerivative,2026-07-24,A,Common,529.502,0,0.0,5268.875,D,Stringer David M,"Officer, Vice Pres, Secretary and CLO",,1,,"Vice Pres, Secretary and CLO",SEC EDGAR
PGR|0000080661-26-000294|nonDerivative|2026-07-24|Stringer David M|F|Common|235|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000294,https://www.sec.gov/Archives/edgar/data/80661/000008066126000294/form4.xml,nonDerivative,2026-07-24,F,Common,235,211.90,49796.5,5033.875,D,Stringer David M,"Officer, Vice Pres, Secretary and CLO",,1,,"Vice Pres, Secretary and CLO",SEC EDGAR
PGR|0000080661-26-000292|nonDerivative|2026-07-24|Quigg Andrew J|A|Common|12524.606|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000292,https://www.sec.gov/Archives/edgar/data/80661/000008066126000292/form4.xml,nonDerivative,2026-07-24,A,Common,12524.606,0,0.0,51619.791,D,Quigg Andrew J,"Officer, VP and Chief Financial Officer",,1,,VP and Chief Financial Officer,SEC EDGAR
PGR|0000080661-26-000292|nonDerivative|2026-07-24|Quigg Andrew J|F|Common|5526|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000292,https://www.sec.gov/Archives/edgar/data/80661/000008066126000292/form4.xml,nonDerivative,2026-07-24,F,Common,5526,211.90,1170959.4000000001,46093.791,D,Quigg Andrew J,"Officer, VP and Chief Financial Officer",,1,,VP and Chief Financial Officer,SEC EDGAR
PGR|0000080661-26-000290|nonDerivative|2026-07-24|Niederst Lori A|A|Common|13151.651|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000290,https://www.sec.gov/Archives/edgar/data/80661/000008066126000290/form4.xml,nonDerivative,2026-07-24,A,Common,13151.651,0,0.0,55717.882,D,Niederst Lori A,"Officer, Chief Personal Lines Officer",,1,,Chief Personal Lines Officer,SEC EDGAR
PGR|0000080661-26-000290|nonDerivative|2026-07-24|Niederst Lori A|F|Common|5812|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000290,https://www.sec.gov/Archives/edgar/data/80661/000008066126000290/form4.xml,nonDerivative,2026-07-24,F,Common,5812,211.90,1231562.8,49905.882,D,Niederst Lori A,"Officer, Chief Personal Lines Officer",,1,,Chief Personal Lines Officer,SEC EDGAR
PGR|0000080661-26-000304|nonDerivative|2026-07-27|Murphy John Jo|S|Common|8124|212.70|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-27,0000080661-26-000304,https://www.sec.gov/Archives/edgar/data/80661/000008066126000304/form4.xml,nonDerivative,2026-07-27,S,Common,8124,212.70,1727974.7999999998,41290.749,D,Murphy John Jo,"Officer, Claims President",,1,,Claims President,SEC EDGAR
PGR|0000080661-26-000288|nonDerivative|2026-07-24|Murphy John Jo|A|Common|14528.824|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000288,https://www.sec.gov/Archives/edgar/data/80661/000008066126000288/form4.xml,nonDerivative,2026-07-24,A,Common,14528.824,0,0.0,55818.749,D,Murphy John Jo,"Officer, Claims President",,1,,Claims President,SEC EDGAR
PGR|0000080661-26-000288|nonDerivative|2026-07-24|Murphy John Jo|F|Common|6404|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000288,https://www.sec.gov/Archives/edgar/data/80661/000008066126000288/form4.xml,nonDerivative,2026-07-24,F,Common,6404,211.90,1357007.6,49414.749,D,Murphy John Jo,"Officer, Claims President",,1,,Claims President,SEC EDGAR
PGR|0000080661-26-000302|nonDerivative|2026-07-27|Griffith Susan Patricia|S|Common|37338|212.71|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-27,0000080661-26-000302,https://www.sec.gov/Archives/edgar/data/80661/000008066126000302/form4.xml,nonDerivative,2026-07-27,S,Common,37338,212.71,7942165.98,522775.572,D,Griffith Susan Patricia,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
PGR|0000080661-26-000286|nonDerivative|2026-07-24|Griffith Susan Patricia|A|Common|133595.025|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000286,https://www.sec.gov/Archives/edgar/data/80661/000008066126000286/form4.xml,nonDerivative,2026-07-24,A,Common,133595.025,0,0.0,619032.572,D,Griffith Susan Patricia,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
PGR|0000080661-26-000286|nonDerivative|2026-07-24|Griffith Susan Patricia|F|Common|58919|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000286,https://www.sec.gov/Archives/edgar/data/80661/000008066126000286/form4.xml,nonDerivative,2026-07-24,F,Common,58919,211.90,12484936.1,560113.572,D,Griffith Susan Patricia,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
PGR|0000080661-26-000284|nonDerivative|2026-07-24|DAY HEATHER E|A|Common|2087.816|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000284,https://www.sec.gov/Archives/edgar/data/80661/000008066126000284/form4.xml,nonDerivative,2026-07-24,A,Common,2087.816,0,0.0,19507.824,D,DAY HEATHER E,"Officer, CRM President",,1,,CRM President,SEC EDGAR
PGR|0000080661-26-000284|nonDerivative|2026-07-24|DAY HEATHER E|F|Common|613|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000284,https://www.sec.gov/Archives/edgar/data/80661/000008066126000284/form4.xml,nonDerivative,2026-07-24,F,Common,613,211.90,129894.7,18894.824,D,DAY HEATHER E,"Officer, CRM President",,1,,CRM President,SEC EDGAR
PGR|0000080661-26-000282|nonDerivative|2026-07-24|Clawson William L. II|A|Common|9603.053|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000282,https://www.sec.gov/Archives/edgar/data/80661/000008066126000282/form4.xml,nonDerivative,2026-07-24,A,Common,9603.053,0,0.0,25486.822,D,Clawson William L. II,"Officer, Chief Human Resources Officer",,1,,Chief Human Resources Officer,SEC EDGAR
PGR|0000080661-26-000282|nonDerivative|2026-07-24|Clawson William L. II|F|Common|4136|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000282,https://www.sec.gov/Archives/edgar/data/80661/000008066126000282/form4.xml,nonDerivative,2026-07-24,F,Common,4136,211.90,876418.4,21350.822,D,Clawson William L. II,"Officer, Chief Human Resources Officer",,1,,Chief Human Resources Officer,SEC EDGAR
PGR|0000080661-26-000280|nonDerivative|2026-07-24|Callahan Patrick K|A|Common|29851.9|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000280,https://www.sec.gov/Archives/edgar/data/80661/000008066126000280/form4.xml,nonDerivative,2026-07-24,A,Common,29851.9,0,0.0,49285.488,D,Callahan Patrick K,"Officer, Personal Lines President",,1,,Personal Lines President,SEC EDGAR
PGR|0000080661-26-000280|nonDerivative|2026-07-24|Callahan Patrick K|F|Common|12578|211.90|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000280,https://www.sec.gov/Archives/edgar/data/80661/000008066126000280/form4.xml,nonDerivative,2026-07-24,F,Common,12578,211.90,2665278.2,36707.488,D,Callahan Patrick K,"Officer, Personal Lines President",,1,,Personal Lines President,SEC EDGAR
PGR|0000080661-26-000278|nonDerivative|2026-07-24|Broz Steven|A|Common|10959.319|0|D,2026-08-01 03:44:51+0000,PGR,PROGRESSIVE CORP/OH/,0000080661,4,2026-07-28,2026-07-24,0000080661-26-000278,https://www.sec.gov/Archives/edgar/data/80661/000008066126000278/form4.xml,nonDerivative,2026-07-24,A,Common,10959.319,0,0.0,37313.945,D,Broz Steven,"Officer, Chief Information Officer",,1,,Chief Information Officer,SEC EDGAR
